pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1154 c,2.36,6.17,1117.0,0.0875,6327.0,1.43,1.26,Kepler-1154 c,0,0.2406996,0,0,1261.5995,Superterran
Kepler-1583 b,0.6,0.156,788.0,0.08307,5645.0,0.91,0.94,Kepler-1583 b,0,0.28138132,0,0,976.59851,Subterran
Kepler-1582 b,1.49,2.83,354.0,0.0316,3208.0,0.3,0.28,Kepler-1582 b,0,0.54879252,0,0,409.10236,Terran
Kepler-1584 b,1.61,3.22,886.0,0.1168,6069.0,1.13,1.1,Kepler-1584 b,0,0.28426989,0,0,973.20448,Superterran
Kepler-633 b,1.63,3.29,1021.0,0.08185,5899.0,1.15,1.02,Kepler-633 b,0,0.27917836,0,0,1104.9604,Superterran
Kepler-1511 b,1.68,3.46,903.0,0.1753,6064.0,1.29,1.17,Kepler-1511 b,0,0.27657468,0,0,1113.101,Superterran
Kepler-1525 b,0.91,0.693,1343.0,0.03557,5748.0,1.04,1.07,Kepler-1525 b,0,0.29398391,0,0,1506.6913,Terran
Kepler-1617 b,1.2,1.87,736.0,0.17707,6167.0,1.22,1.15,Kepler-1617 b,0,0.31070689,0,0,822.87948,Terran
Kepler-1470 b,1.07,1.24,574.0,0.116,4961.0,0.76,0.8,Kepler-1470 b,0,0.34841669,0,0,638.55238,Terran
Kepler-132 e,1.18,1.76,414.0,0.43927,6023.0,1.1,1.03,Kepler-132 e,0,0.43991948,0,0,490.11153,Terran
Kepler-1618 b,1.26,2.13,1267.0,0.07109,6620.0,1.65,1.41,Kepler-1618 b,0,0.28965758,0,0,1610.7316,Terran
Kepler-1472 b,1.9,4.27,613.0,0.2322,6159.0,1.25,1.16,Kepler-1472 b,0,0.2867047,0,0,760.3165,Superterran
Kepler-622 b,2.13,5.18,446.0,0.0978,4201.0,0.61,0.64,Kepler-622 b,0,0.33405838,0,0,560.08778,Superterran
Kepler-154 e,1.5,2.86,1140.0,0.04766,5769.0,0.98,0.98,Kepler-154 e,0,0.28172292,0,0,1352.4667,Terran
Kepler-1529 b,2.1,5.06,817.0,0.0525,5048.0,0.77,0.81,Kepler-1529 b,0,0.26173831,0,0,930.77748,Superterran
Kepler-1090 b,2.25,5.69,297.0,0.63323,5321.0,0.82,0.86,Kepler-1090 b,0,0.66507003,0,0,331.55871,Superterran
Kepler-1619 b,0.76,0.363,797.0,0.15413,5852.0,1.0,1.0,Kepler-1619 b,0,0.30330498,0,0,864.72447,Subterran
Kepler-1477 b,1.18,1.76,674.0,0.0911,5100.0,0.78,0.81,Kepler-1477 b,0,0.30861761,0,0,851.46408,Terran
Kepler-598 b,1.5,2.86,1050.0,0.04487,5307.0,0.86,0.87,Kepler-598 b,0,0.28369131,0,0,1184.9185,Terran
Kepler-1530 b,1.64,3.33,1484.0,0.03553,5477.0,0.88,0.92,Kepler-1530 b,0,0.27627156,0,0,1248.7876,Superterran
Kepler-1530 c,1.65,3.36,1167.0,0.05744,5477.0,0.88,0.92,Kepler-1530 c,0,0.28197341,0,0,981.97379,Superterran
Kepler-1622 b,1.47,2.76,922.0,0.10136,6436.0,1.5,1.31,Kepler-1622 b,0,0.28599578,0,0,1131.0514,Terran
Kepler-1479 b,1.83,4.01,746.0,0.11341,5796.0,0.98,0.99,Kepler-1479 b,0,0.27633997,0,0,913.11718,Superterran
Kepler-1480 b,1.67,3.43,721.0,0.1525,5156.0,0.81,0.85,Kepler-1480 b,0,0.3548187,0,0,568.90611,Superterran
Kepler-969 c,0.99,0.937,1270.0,0.0265,5214.0,0.82,0.92,Kepler-969 c,0,0.29544207,0,0,1394.4119,Terran
Kepler-990 c,1.53,2.96,2386.0,0.01232,5948.0,1.08,1.05,Kepler-990 c,0,0.27779477,0,0,2480.4111,Terran
Kepler-1093 c,1.96,4.5,508.0,0.41037,6166.0,1.2,1.13,Kepler-1093 c,0,0.32497613,0,0,597.27923,Superterran
Kepler-1531 b,1.11,1.41,2537.0,0.02204,6260.0,1.27,1.16,Kepler-1531 b,0,0.29227235,0,0,2310.5437,Terran
Kepler-1623 b,1.31,2.27,1000.0,0.0518,5772.0,1.0,1.0,Kepler-1623 b,0,0.29212031,0,0,1144.8818,Terran
Kepler-1481 b,1.23,2.04,797.0,0.059,4908.0,0.75,0.8,Kepler-1481 b,0,0.30780844,0,0,844.79146,Terran
Kepler-1483 b,1.52,2.92,1131.0,0.0958,6337.0,1.4,1.25,Kepler-1483 b,0,0.28310702,0,0,1166.1187,Terran
Kepler-705 b,2.11,5.1,265.0,0.232,3722.0,0.51,0.53,Kepler-705 b,2,0.73073671,1,1,269.11105,Superterran
Kepler-632 b,2.21,5.52,500.0,0.1885,5322.0,0.84,0.91,Kepler-632 b,0,0.32965113,0,0,560.10551,Superterran
Kepler-1486 b,2.32,5.99,538.0,0.2846,5965.0,1.12,1.08,Kepler-1486 b,0,0.28869935,0,0,645.36896,Superterran
Kepler-342 e,0.88,0.615,1897.0,0.02909,6366.0,1.34,1.26,Kepler-342 e,0,0.29188104,0,0,2181.4322,Terran
Kepler-1409 b,1.04,1.12,1733.0,0.01553,5160.0,0.79,0.83,Kepler-1409 b,0,0.29362,0,0,1830.2218,Terran
Kepler-1444 b,2.18,5.39,581.0,0.20906,5810.0,1.05,1.03,Kepler-1444 b,0,0.29492493,0,0,648.69118,Superterran
Kepler-1516 b,1.75,3.71,967.0,0.0718,5904.0,1.07,1.04,Kepler-1516 b,0,0.26958128,0,0,1387.9164,Superterran
Kepler-1537 b,1.18,1.76,1800.0,0.0245,5079.0,0.77,0.81,Kepler-1537 b,0,0.29272399,0,0,1440.7628,Terran
Kepler-1488 b,1.86,4.12,650.0,0.24153,5820.0,1.31,1.05,Kepler-1488 b,0,0.27965379,0,0,843.7862,Superterran
Kepler-1448 b,1.61,3.22,811.0,0.1058,5774.0,0.93,0.95,Kepler-1448 b,0,0.29166057,0,0,850.02693,Superterran
Kepler-1493 b,1.41,2.57,874.0,0.1197,5863.0,1.29,1.06,Kepler-1493 b,0,0.29390001,0,0,959.68442,Terran
Kepler-1450 b,1.71,3.57,308.0,0.2401,4524.0,0.68,0.71,Kepler-1450 b,0,0.60405196,0,0,377.33704,Superterran
Kepler-1607 b,0.92,0.721,913.0,0.11978,6116.0,1.21,1.14,Kepler-1607 b,0,0.29546369,0,0,1319.6881,Terran
Kepler-1496 b,2.22,5.56,535.0,0.3211,6182.0,1.27,1.18,Kepler-1496 b,0,0.30782529,0,0,604.79107,Superterran
Kepler-1065 c,1.6,3.19,1256.0,0.0344,5635.0,0.93,0.94,Kepler-1065 c,0,0.27643563,0,0,1450.9295,Terran
Kepler-1067 b,0.8,0.437,1872.0,0.0164,5592.0,0.93,0.95,Kepler-1067 b,0,0.28905904,0,0,2076.9116,Subterran
Kepler-578 b,2.0,4.66,1774.0,0.0266,5334.0,0.83,0.87,Kepler-578 b,0,0.25670306,0,0,1452.8966,Superterran
Kepler-1460 b,1.96,4.5,391.0,0.1614,4422.0,0.67,0.7,Kepler-1460 b,0,0.45947466,0,0,440.52824,Superterran
Kepler-1498 b,1.33,2.33,564.0,0.2528,5256.0,0.81,0.86,Kepler-1498 b,0,0.40550892,0,0,520.04028,Terran
Kepler-1073 c,1.64,3.33,1169.0,0.0483,5792.0,1.0,1.0,Kepler-1073 c,0,0.27568447,0,0,1301.5233,Superterran
Kepler-1611 b,0.81,0.457,1243.0,0.0586,5605.0,0.93,0.94,Kepler-1611 b,0,0.29524508,0,0,1113.5936,Terran
Kepler-624 b,2.31,5.95,852.0,0.11638,6117.0,1.18,1.1,Kepler-624 b,0,0.24869723,0,0,993.6003,Superterran
Kepler-1500 b,1.2,1.87,928.0,0.1236,5845.0,1.0,1.0,Kepler-1500 b,0,0.30130725,0,0,958.66371,Terran
Kepler-1522 b,1.73,3.64,1374.0,0.0288,5706.0,0.93,0.96,Kepler-1522 b,0,0.26896596,0,0,1787.431,Superterran
Kepler-625 b,1.99,4.62,852.0,0.08137,5789.0,0.96,1.04,Kepler-625 b,0,0.25824239,0,0,1311.4294,Superterran
Kepler-1612 b,1.03,1.08,1030.0,0.0482,5643.0,0.94,0.96,Kepler-1612 b,0,0.29786273,0,0,1175.9856,Terran
Kepler-1464 b,1.66,3.39,564.0,0.20066,5828.0,1.01,1.02,Kepler-1464 b,0,0.28782086,0,0,867.81601,Superterran
Kepler-1464 c,1.0,0.972,1023.0,0.06101,5828.0,1.01,1.02,Kepler-1464 c,0,0.29446936,0,0,1574.1106,Terran
Kepler-1504 b,2.13,5.18,485.0,0.3704,5393.0,0.81,0.85,Kepler-1504 b,0,0.30724283,0,0,618.85661,Superterran
Kepler-1505 b,0.93,0.749,525.0,0.18298,5686.0,0.86,0.93,Kepler-1505 b,0,0.32636108,0,0,726.41647,Terran
Kepler-1523 b,1.58,3.12,1676.0,0.01867,5708.0,0.96,0.97,Kepler-1523 b,0,0.2758385,0,0,1997.9732,Terran
Kepler-1613 b,2.08,4.98,1926.0,0.02755,6005.0,1.12,1.08,Kepler-1613 b,0,0.25089603,0,0,2556.3691,Superterran
Kepler-1614 b,1.49,2.83,981.0,0.0471,5121.0,0.76,0.79,Kepler-1614 b,0,0.2850525,0,0,1134.1358,Terran
