pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1158 b,2.34,6.08,1079.0,13.5396293,0.0,0.12643,449.699,6203.0,1.95,1.41,0.18,Kepler-1158 b,0,0.24104567,0,0,1321.8023,Superterran
Kepler-212 b,1.09,1.32,830.0,16.257582,0.0,0.133,133.866,5852.0,1.455,1.166,0.22,Kepler-212 b,0,0.30250959,0,0,983.44415,Terran
TOI-700 b,0.914,0.704,417.0,9.977219,0.075,0.0677,4.98,3459.0,0.421,0.415,-0.07,TOI-700 b,0,0.52704018,0,0,430.00972,Terran
Kepler-862 b,2.21,5.52,1097.0,3.148664534,0.0,0.039,547.293,5333.0,0.84,0.88,0.04,Kepler-862 b,0,0.2468711,0,0,1372.9136,Superterran
Kepler-310 b,1.19,1.81,665.0,13.930698,0.0,0.111,45.97,5797.0,0.876,0.854,-0.12,Kepler-310 b,0,0.31970038,0,0,752.51304,Terran
Kepler-126 c,1.58,1.27942148,790.0,21.869741,0.19,0.162,112.128,6239.0,1.358,1.108,-0.16,Kepler-126 c,0,0.28768302,0,0,925.0785,Terran
Kepler-1698 b,1.07315686,1.25,1351.0,1.2107,0.0,0.02065,697.6,4975.03,0.741698,0.822,0.08,Kepler-1698 b,0,0.29437205,0,0,1498.5716,Terran
Kepler-777 b,1.47,2.76,569.0,5.72812599,0.0,0.0519,33.953,4043.0,0.56,0.58,-0.17,Kepler-777 b,0,0.31409039,0,0,723.33893,Terran
Kepler-1209 b,1.51,2.89,755.0,25.369116,0.0,0.17515,63.246,6210.0,1.38,1.23,0.12,Kepler-1209 b,0,0.29852039,0,0,826.11264,Terran
GJ 536 b,2.41,6.37,451.0,8.70874,0.0,0.0668,9.9,3641.0,0.529,0.528,-0.08,GJ 536 b,0,0.37099671,0,0,504.34973,Superterran
Kepler-360 b,1.65,3.36,1116.0,3.289672,0.0,0.044,415.434,6053.0,1.058,0.994,0.15,Kepler-360 b,0,0.2755264,0,0,1271.157,Superterran
Kepler-308 b,2.12,5.14,833.0,9.694928,0.0,0.09,108.64,5895.0,0.941,0.92,-0.04,Kepler-308 b,0,0.26263168,0,0,897.02442,Superterran
Kepler-825 c,1.84,4.04,981.0,8.1818246,0.0,0.0759,261.628,5976.0,1.08,1.03,-0.08,Kepler-825 c,0,0.26851032,0,0,1118.9344,Superterran
Kepler-895 b,1.54,2.99,771.0,2.806242328,0.0,0.0328,106.585,4315.0,0.61,0.65,-0.16,Kepler-895 b,0,0.28763843,0,0,971.60245,Terran
Kepler-1486 b,2.32,5.99,538.0,54.6495759,0.0,0.2846,22.372,5965.0,1.12,1.08,0.06,Kepler-1486 b,0,0.28869935,0,0,645.36896,Superterran
Kepler-758 c,1.69,3.5,1372.0,4.75793986,0.0,0.05768,1211.822,6228.0,1.42,1.16,-0.1,Kepler-758 c,0,0.27112184,0,0,1700.912,Superterran
Kepler-1210 b,1.7,3.53,856.0,8.07124073,0.0,0.0753,152.047,5568.0,0.92,0.94,0.04,Kepler-1210 b,0,0.28036227,0,0,962.22809,Superterran
K2-138 d,2.39,7.92,888.0,5.40479,0.043,0.05893,160.0,5356.3,0.863,0.935,0.14,K2-138 d,0,0.24448437,0,0,1004.5165,Superterran
Kepler-1905 b,1.4460734,2.69,1212.0,3.42392993,0.0,0.0451,508.75,5788.0,1.015,1.038,0.16,Kepler-1905 b,0,0.28422553,0,0,1335.3258,Terran
Kepler-167 b,1.718,3.6,918.0,4.3931539,0.0,0.04825,122.502,4884.0,0.749,0.777,0.02,Kepler-167 b,0,0.27955535,0,0,960.34408,Superterran
Kepler-362 c,1.45,2.7,543.0,37.866281,0.0,0.207,36.667,5788.0,0.722,0.904,-0.12,Kepler-362 c,0,0.31691682,0,0,713.16554,Terran
Kepler-93 b,1.478,4.66,1133.0,4.72673978,0.0,0.05343,275.0,5669.0,0.919,0.911,-0.18,Kepler-93 b,0,0.28489884,0,0,1170.9354,Terran
Kepler-271 b,1.23,2.04,759.0,10.43547805,0.0,0.08784,75.957,5555.0,0.87,0.9,-0.13,Kepler-271 b,0,0.30842235,0,0,837.89108,Terran
Kepler-254 d,2.5,6.8,686.0,18.746477,0.0,0.139,38.844,5957.0,0.91,0.849,-0.13,Kepler-254 d,0,0.26320769,0,0,718.07221,Superterran
Kepler-567 b,2.25,5.69,611.0,16.54297375,0.0,0.1229,26.137,5148.0,0.79,0.84,0.0,Kepler-567 b,0,0.29136433,0,0,648.48447,Superterran
Kepler-826 b,1.25,2.1,1305.0,4.48758907,0.0,0.05202,827.221,6079.0,1.15,1.05,-0.12,Kepler-826 b,0,0.29029391,0,0,1530.5889,Terran
GJ 1132 b,1.19151465,1.83704819,583.8,1.62892911,0.0118,0.0157,19.3,3229.0,0.2211,0.1945,-0.17,GJ 1132 b,0,0.36158321,0,0,596.34667,Terran
Kepler-128 b,1.421,3.79,968.0,15.0,0.0,0.12545,227.398,6072.0,1.659,1.184,-0.03,Kepler-128 b,0,0.28770814,0,0,1131.2257,Terran
Kepler-141 b,0.69,0.257,968.0,3.107675,0.0,0.039,228.663,4910.0,0.787,0.878,0.2643,Kepler-141 b,0,0.28697797,0,0,1126.9203,Subterran
Kepler-603 d,1.32,2.3,1098.0,6.2171292,0.0,0.07117,497.4,5808.0,1.01,1.01,0.03,Kepler-603 d,0,0.2887138,0,0,1396.9743,Terran
Kepler-374 c,1.1,1.37,1467.0,3.282807,0.0,0.042,966.591,5977.0,0.911,1.033,0.1111,Kepler-374 c,0,0.29341666,0,0,1643.618,Terran
